rank,scenario_id,path_m,min_speed,p05_speed,mean_speed,moving_fraction,num_non_av,reason
1,001b7381-ef77-4db9-a31b-3a519b3a4875,86.79232209441358,8.61533246517445,13.029991364798006,14.465387015735597,1.0,4,ok
2,0005dd1d-53ee-4db2-be95-a09e64d78b61,87.9165990695653,8.615227304272807,13.503261731146123,14.652766511594217,1.0,3,ok
3,0001fe2b-a3c8-4cdf-a712-6b65a17ca316,90.77053412063536,8.501325654704049,13.419555267762235,15.128422353439225,1.0,11,ok
4,00052182-d782-4196-a025-a9916aaae4d6,89.387051913407,8.150441246140613,12.834382782467966,14.897841985567839,1.0,3,ok
5,001a7bd3-05f3-433a-9042-30578efd7d2b,89.83000654789402,7.473511012356015,12.433760136984024,14.971667757982337,1.0,3,ok
6,00194f47-7cdc-4e1f-ab36-7d33d8abe7ec,85.17408838820481,7.100590660357016,11.724604205287333,14.195681398034136,1.0,7,ok
7,0003904f-371d-4544-8712-5f4eff74ef91,77.62089552861515,6.969979784955355,11.293325193634104,12.936815921435858,1.0,1,ok
8,001cb639-614f-4356-a50b-372514f14e96,71.02749032640624,6.571372640701549,10.369618312101254,11.837915054401037,1.0,7,ok
9,0002cd4c-d011-4f89-84e4-5a042007f034,88.3850945874037,6.369981211360607,11.35354422060614,14.73084909790061,1.0,3,ok
10,0006157f-aa50-483f-8e67-a965315a520c,64.90561283919605,6.158200821420883,9.677706462448157,10.817602139866006,1.0,5,ok
11,001d74b4-be3d-46ff-ac5c-facacfd489a9,62.37422174265494,6.14649559028458,9.507695006288195,10.395703623775823,1.0,3,ok
12,0006c73f-a174-44c9-941e-495d4023c382,64.75846281004114,6.140142543175667,9.649321582936755,10.793077135006856,1.0,2,ok
13,00134c8e-2a3f-4298-acdd-313578a093ec,63.43219320931308,6.113856504875959,9.613290082071103,10.572032201552174,1.0,4,ok
14,000fd3cb-1fa5-42d3-b532-533474c70c13,64.48564966488213,6.088493231675085,9.593983480883754,10.747608277480355,1.0,6,ok
15,00141832-b4e6-4e54-a706-9e04e59d72bd,63.17946250394873,6.072088278864391,9.638190484537214,10.529910417324789,1.0,5,ok
16,001c3493-893f-4c2d-919b-da93a310c721,76.29107111002868,5.819959919846312,10.314011464119988,12.715178518338115,1.0,7,ok
17,0010a049-f6f3-453d-b326-971670bc8093,65.76005565471874,5.525127310224662,9.143585769240678,10.960009275786456,1.0,4,ok
18,0019c425-848d-49f8-a14f-7641b75d7942,63.74266223363331,5.415395272649445,9.003258744764777,10.623777038938885,1.0,10,ok
19,001c4b25-247c-4fb5-9363-3e51351fe3b2,66.49886321656314,5.401971458024934,9.014540910959973,11.083143869427188,1.0,11,ok
20,0013e6ae-7481-43da-8ecd-330baf39fbdc,49.3820953811709,5.161643855580876,5.677516970168149,8.23034923019515,1.0,1,ok
21,0000b0f9-99f9-4a1f-a231-5be9e4c523f7,52.59960868848494,5.101297622364896,6.485121362539767,8.766601448080825,1.0,4,ok
22,00093b91-f118-493b-bdec-04924ea4de3a,78.47120024882467,4.870109513733583,8.81812516952171,13.078533374804108,1.0,1,ok
23,0001f576-0552-49c9-9ce2-8c47411a088e,59.791449242156034,4.608900765091363,8.026462190365228,9.965241540359337,1.0,7,ok
24,001c58dc-63e5-4997-8ae7-71193e4b334e,76.40497758616766,4.280742531654345,8.898131793467643,12.734162931027942,1.0,1,ok
25,0014d9e1-fc42-4128-acff-90a8bdb01b66,54.64481549904217,4.18993398045352,7.040044566495053,9.107469249840362,1.0,5,ok
26,00161045-0721-4b7c-b644-2d8589467ba0,42.8559251059318,4.161931272622669,6.4380099351956925,7.142654184321967,1.0,10,ok
